X,Y,Z
0.041593443747687364,0.23892433469051455,0.6454746004955415
0.06132653284197008,0.24292156722837666,0.6283613213410761
0.07948603628061074,0.24991924459870962,0.611753994813354
0.09652935711242062,0.2596515589553548,0.5956392058530985
0.11284157729671404,0.27192477380766905,0.5800061336776079
0.12874989694780953,0.28660569036740713,0.5648461476500302
0.1445354762897693,0.3036123781423695,0.5501525882436906
0.16044316647502932,0.3229067649035704,0.535920680154015
0.17668952631788343,0.3444887557815058,0.5221475438549479
0.19346944926424567,0.3683916124126343,0.508832284902958
0.21096166557908452,0.39467837315150683,0.4959761491958828
0.22933333633632674,0.42343913636742664,0.4835827386203401
0.24874391633943674,0.4547890623891401,0.47165828602258286
0.2693484309444071,0.48886697708716653,0.46021199185351747
0.29130028555868304,0.5258344824883245,0.44925642760294665
0.3147537052516472,0.5658754980963324,0.4388080135492559
0.3398658845361157,0.6091961714740453,0.4288875806186452
0.36679891322990865,0.6560251087155482,0.41952102842555505
0.3957215327784726,0.7066138851721422,0.41074009397015754
0.42681076801783957,0.761237804569382,0.40258324809484874
0.4602534716729938,0.8201968807534377,0.3950967397324442
0.4962478125810382,0.8838170209524969,0.38833581129113365
0.535004733418184,0.952451392786937,0.3823661122903991
0.5767493993550593,1.0264819594062364,0.3772653426642393
0.621722655360177,1.1063211681111929,0.3731251620618897
0.6701825066352786,1.1924137776223211,0.370053407083432
0.7224056337339828,1.2852388077082615,0.3681766647722075
0.7786889511314107,1.3853115920602077,0.36764325793210195
0.8393512152242903,1.4931859108915344,0.36862670602669473
0.9047346847910147,1.6094561734818291,0.3713297346212755
0.9752068336600962,1.7347596124095122,0.3759889166027085
1.0511621115350378,1.8697784400625181,0.3828800397810959
1.1330237443877857,2.01524190359669,0.3923243079185214
1.2212455603086763,2.171928156099047,0.4046954956486304
1.3163138198877133,2.3406658384140666,0.4204281919441206
1.4187490217403487,2.5223352368186958,0.4400272814007124
1.5291076432481834,2.7178688451787014,0.46407882706073744
1.647983763441235,2.9282511148313417,0.49326253191753977
1.7760104985802458,3.154517119396486,0.5283659673249462
1.9138611606618698,3.397749792924744,0.5703007634162738
